year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
1888,12,08,07,10,,L,+0.000,+0.000,  0.0,0, 0.0,-1,"D",,,"ES","Aimorés Juerama Mucuri","(Diario_de_Belem 1889-01-09) cidades muito distantes"
1889,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"RJ","RIO DE JANEIRO",""
1889,04,10,,,,,,,  0.0,0, 0.0,-1,"D",,,"SP","CANANEIA","PEDRAS IMPELIDAS A DIST."
1889,12,02,06,30,,L,-3.540,-40.450,  0.0,0, 0.0,-1,"C",,,"CE","Meruoca Ibiaba Rosario","(A_Lucta-Sobral-CE 1918-12-04)"
1890,08,13,09,30,,L,-27.590,-48.550,  0.0,0, 3.0,3,"C","4",,"SC","Florianópolis","(O_Republicano-SE 1890-08-31)"
1891,05,,,,,,-22.900,-43.200,  0.0,0, 0.0,-1,"D",,,"RJ","Rio de Janeiro","(O_Pharol-Ouro_Preto-MG 1891-05-28: Di.do_Commercio)"
1891,05,19,,,,,-12.100,-43.260,  0.0,0, 0.0,-1,"D",,,"GO","Goiás_Velho","meteorite (O Brasil RJ 1891-06-01; Silva 2017)"
1891,12,21,09,30,,L,-13.370,-39.070,  0.0,0, 3.0,3,"C","4",,"BA","Valença","(Diario_de_Noticias-PA 1892-02-09)"
1892,07,26,13,20,,L,-2.900,-40.850,  0.0,0, 0.0,-1,"C",,,"CE","Camocim","(A_Republica-CE 1892-07-27)"
1894,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"RN","LAJES",""
1894,11,09,,,,,-15.800,-49.200,  0.0,100, 3.7,3,"B",,6.000000,"GO","Jaraguá","(Estado de Goyás 1894-11-28; Silva et al.2020)"
1896,09,27,05,,,L,-3.130,-60.020,  0.0,0, 0.0,-1,"C",,,"AM","Manaus","(O_Pará-PA 1896-10-09)"
1897,11,01,,,,,-13.080,-39.000,  0.0,0, 0.0,-1,"D",,,"BA","Aratuípe","(O_Salvador-BA 1897-11-05) desmoronamento?"
1898,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"CE","PEREIRO",""
1898,02,25,01,,,L,-27.400,-49.100,  0.0,0, 3.9,3,"C",,10.000000,"SC","Blumenau Florianopolis","(A Republica-SC 1898-02-26; J.de_Noticias-RJ 1898-03-03)"
1898,03,24,,,,,-20.380,-43.420,  0.0,0, 3.0,4,"C","4",,"MG","Mariana","(O_Viçoso-O.Preto-MG_1898-03-27; 04-03)"
1898,04,,,,,,-20.370,-43.410,  0.0,0, 0.0,-1,"C",,,"MG","MARIANA","VARIOS EVENTOS"
1899,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"RN","LAJES",""
1899,05,,,,,,-18.600,-46.550,  0.0,0, 3.5,4,"C","5",,"MG","PATOS","(WILLIAMS 1922) 04.1899?"
1899,06,03,03,,,L,-19.710,-47.980,  0.0,0, 3.0,4,"C","4",,"MG","Uberaba","(Minas_Gerais-O.Preto 1899-06-06; Diario_Maranhao 1899-06-16)"
1899,07,02,,,,,+0.000,+0.000,  0.0,0, 0.0,-1,"D",,,"MG","Bagagera","(J.Commercio-AM 1910-07-02) cidade não localizada"
1899,12,,,,,,-13.030,-39.600,  0.0,0, 3.5,4,"C","5",,"BA","AMARGOSA",""
1900,10,29,05,30,,L,+0.100,-50.000,  0.0,0, 0.0,-1,"C",,,"PA","Ilha Caviana","(A_Pacotilha-MA 1900-11-20: Folha_do_Norte-PA)"
1900,10,30,,,,,-15.300,-47.400,  0.0,0, 0.0,-1,"D",,,"GO","Bonfim(?)","(O Jornal PA 1900-12-16; Silva 2017)"
1901,01,25,,,,,-9.660,-35.700,  0.0,0, 0.0,-1,"C",,,"AL","Maceio","(A_Pacotilha-MA 1901-01-30)"
1901,04,04,13,,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO","varios eventos"
1901,04,05,05,,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO",""
1901,05,25,23,20,,L,-9.530,-36.060,  0.0,0, 3.2,4,"B","4-5",,"AL","Atalaia Viçosa","(O_Cachoeirano-ES 1901-02-28) dois eventos"
1901,05,26,02,15,,L,-9.530,-36.020,  0.0,20, 3.6,3,"C","5-6",3.800000,"AL","Atalaia Viçosa Maceió","(O_Cachoeirano-ES 1901-02-28) Rfelt=30-40km"
1901,06,01,23,,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO",""
1901,09,04,19,30,,L,-21.030,-44.750,  0.0,10, 3.7,3,"B","4",5.500000,"MG","Bom Sucesso","(J.Commercio 22-09-1901) outros dois à tarde"
1901,09,05,12,,,L,-21.030,-44.750,  0.0,10, 3.5,3,"C","4",3.000000,"MG","Bom Sucesso","(J.Commercio 22-09-1901)"
1902,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"SP","MOCOCA","SENT. EM CAJURU-SP"
1902,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"SP","PINHAL","ANO INCERTO; RELATO DE 27.01.1922"
1902,06,25,21,,,L,-25.390,-51.460,  0.0,0, 0.0,-1,"C",,,"PR","Guarapuava","(O_Cachoeirano-ES 1902-07-06) outro 1902-26-06 às 06hs"
1902,06,29,10,,,L,-21.030,-44.750,  0.0,0, 0.0,-1,"C",,,"MG","BOM SUCESSO","dois eventos neste dia"
1903,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"CE","PEREIRO",""
1903,02,10,,,,,-4.380,-38.970,  0.0,30, 3.9,3,"C",,5.500000,"CE","BATURITÉ",""
1903,02,12,,,,,-4.380,-38.970,  0.0,30, 3.9,3,"C",,5.500000,"CE","BATURITÉ",""
1903,02,14,,,,,-4.380,-38.970,  0.0,30, 4.1,3,"C","6",12.000000,"CE","BATURITÉ",""
1903,02,15,,,,,-4.380,-38.970,  0.0,30, 4.1,3,"C","6",12.000000,"CE","BATURITÉ","(O POVO-Fortaleza?...)"
1903,02,16,,,,,-4.380,-38.970,  0.0,30, 4.1,3,"C","6",12.000000,"CE","BATURITÉ",""
1903,02,25,22,05,,L,-21.030,-44.780,  0.0,0, 2.8,4,"C","3-4",,"MG","Bom Sucesso","(O_Pharol-JuizDeFora-MG 1903-02-27)"
1903,03,22,,,,,-21.030,-44.780,  0.0,0, 3.4,3,"C",,2.000000,"MG","Bom_Sucesso Amparo","(O_Pharol-JuizDeFora-MG 1903-04-01) à noite '8 leguas' Rfelt=25km?"
1903,03,29,10,30,,L,-21.030,-44.780,  0.0,0, 3.7,4,"C","5-6",,"MG","Bom_Sucesso S.A.Amparo","(O_Pharol-JuizDeFora-MG 1903-04-02; 04-04)"
1903,05,14,13,,,L,-4.100,-38.750,  0.0,0, 3.6,3,"C",,5.000000,"CE","Fortaleza Baturité","(A_Pacotilha-MA 1903-05-20) Rfelt=40km?"
1903,07,20,,,,,-4.360,-39.320,  0.0,0, 0.0,-1,"C",,,"CE","CANINDÉ",""
1904,,,,,,,-5.500,-35.800,  0.0,0, 0.0,-1,"C",,,"RN","Joao Camara","(Jose Severiano - J.Camara)"
1904,,,,,,,-9.410,-40.500,  0.0,0, 0.0,-1,"C",,,"BA","Juazeiro","(Conceicao_do_Serro__CidadeConceicao-MG 1904-07-31)"
1905,,,12,30,,L,-11.200,-42.300,  0.0,100, 4.7,3,"B","4",140.000000,"BA","XIQUE-XIQUE","Ano incerto (Branner 1912)"
1905,03,12,16,,,L,-2.530,-44.300,  0.0,0, 0.0,-1,"C",,,"MA","SAO LUIS","SO' TEMPESTADE ?"
1905,07,18,19,30,,L,-10.200,-40.400,  0.0,100, 4.8,3,"B","5",180.000000,"BA","S. DO BONFIM","ANO INCERTO; 1904 ?"
1905,,,,,,,-3.580,-39.480,  0.0,0, 0.0,-1,"C",,,"CE","Cachoeira","(Gutenberg-AL 1905-09-02)"
1906,,,,,,,,,  0.0,0, 0.0,-1,"D",,,"AM","ITACOATIARA","ANO INCERTO"
1906,03,22,,,,,-22.510,-43.180,  0.0,0, 0.0,-1,"D",,,"RJ","Petrópolis","Deslisamento (Correio_da_Manha-RJ 1906-03-23)"
1906,04,21,,,,,-21.950,-42.130,  0.0,0, 0.0,-1,"C",,,"RJ","São Sebastiao","(Gutenberg-AL 1906-04-28)"
1906,06,26,19,30,,L,-20.810,-49.380,  0.0,0, 0.0,-1,"D",,,"SP","S.José Rio Preto","bólido? (O_Pharol-JuizDeFora-MG 1906-06-30 N0154)"
1906,08,19,,,,,+0.000,+0.000,  0.0,0, 8.4,0,"E",,,"CH","MT","Ms8.4 CHILE CENTRAL"
1906,10,24,22,58,,L,-19.000,-57.640,  0.0,0, 4.2,3,"R",,20.000000,"MS","CORUMBÁ","(Berrocal et al.1984) REGISTRADO POR RDJ (??)"
1906,10,24,22,58,,L,-19.200,-57.400,  0.0,100, 4.9,3,"B","4-5",190.000000,"MS","Corumbá","(O Pharol MT 1906-10-27; Silva et al.2020)"
1906,10,25,01,30,,L,-15.600,-56.100,  0.0,0, 0.0,-1,"D",,,"MT","Cuiabá","(Gutenberg-AL 1906-10-27; Silva et al.2020)"
