year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
1874,10,30,09,25,,L,-23.450,-47.400,  0.0,20, 3.6,3,"B","5",3.700000,"SP","Sorocaba S.Roque Itu","(Correio Paulistano 1874-11-04)   ** Af **"
1876,04,08,04,52,,L,-34.300,-58.300,  0.0,0, 3.5,4,"C","5",,"AR","Rio_la_Plata B.Aires","(INPRES)"
1876,06,26,21,30,,L,-16.570,-57.820,  0.0,0, 3.0,4,"C","4",,"MT","CAMBARA",""
1879,03,01,,,,,-15.600,-56.100,  0.0,0, 3.5,4,"C","5",,"MT","CUIABA",""
1879,07,24,17,25,,L,-6.000,-35.500,  0.0,50, 4.3,3,"B","5",30.000000,"RN","NATAL","(O_Liberal_Parahybano 1879-08-02) Sentido forte em Areia-PB"
1879,10,09,21,30,,L,-19.590,-46.940,  0.0,0, 3.4,3,"C","4",3.000000,"MG","Araxá","(Diario_Maranhao 1879-11-04) 'seis leguas em redor'"
1879,10,14,07,,,L,-1.460,-61.640,  0.0,0, 3.5,4,"C","5",,"AM","Moura","(Revista Amazonica 1883_ed3)"
1881,02,17,09,,,L,-4.080,-63.140,  0.0,0, 3.2,4,"C","4",,"AM","Coari","(O_Monitor-BA 1881-03-22)"
1882,05,01,23,,,L,-3.400,-44.350,  0.0,0, 3.2,4,"C","4",,"MA","Itapecuru-mirim","(Diario_do_Maranhao 1882-05-08)"
1882,10,21,04,44,,L,-21.790,-46.580,  0.0,0, 3.0,4,"C","4",,"MG","Poços de Caldas","(Correio Paulistano 1882-10-28: J. Commercio)"
1883,02,23,00,30,,L,-21.860,-42.670,  0.0,0, 3.0,4,"C","4",,"MG","Além Paraiba","(O_Liberal_PA 1883-03-28: Correio de S. José)"
1883,03,17,20,30,,L,-27.820,-54.670,  0.0,0, 3.5,3,"C","5-6",3.000000,"RS","Santo Cristo","'sentido a 6 leguas' (Correio_Paulistano 1883-06-06)"
1884,05,26,22,30,,L,-2.000,-54.070,  0.0,0, 3.5,4,"C","5",,"PA","Monte Alegre","(O_Liberal-PA 1884-06-07)"
1884,07,05,04,20,,L,-22.230,-45.940,  0.0,0, 3.2,4,"C","4-5",,"MG","Pouso Alegre","população despertou alarmada (J. Commercio-RJ 1884-07-10)"
1885,08,04,06,30,,L,+3.400,-52.900,  0.0,100, 6.9,3,"A","6",3500.000000,"GY","French_Guyana-Amapá","Felt Georgetown to Belém (Assumpção & Veloso 2020)"
1886,05,09,15,15,,L,-22.660,-43.690,  0.0,20, 4.3,3,"A","5",23.000000,"RJ","S.PEDRO-S.P.","AREA IV = 4700 km2"
1887,08,27,08,20,,L,-25.490,-48.600,  0.0,15, 3.3,3,"C",,1.500000,"PR","Paranaguá Antonina","(A_Provincia-ES 1887-09-01) sentido Fort. da Barra"
1888,05,,04,30,,L,-4.190,-38.700,  0.0,0, 3.0,4,"C","4",,"CE","ACARAPE",""
1888,06,05,00,20,,L,-34.500,-58.000,  0.0,80, 5.0,3,"A","5",245.000000,"AR","B.Aires;Colonia(UR)","(Benavidez 1998) INPRES=03:19UT"
1890,08,13,09,30,,L,-27.590,-48.550,  0.0,0, 3.0,3,"C","4",,"SC","Florianópolis","(O_Republicano-SE 1890-08-31)"
1891,12,21,09,30,,L,-13.370,-39.070,  0.0,0, 3.0,3,"C","4",,"BA","Valença","(Diario_de_Noticias-PA 1892-02-09)"
1894,11,09,,,,,-15.800,-49.200,  0.0,100, 3.7,3,"B",,6.000000,"GO","Jaraguá","(Estado de Goyás 1894-11-28; Silva et al.2020)"
1898,02,25,01,,,L,-27.400,-49.100,  0.0,0, 3.9,3,"C",,10.000000,"SC","Blumenau Florianopolis","(A Republica-SC 1898-02-26; J.de_Noticias-RJ 1898-03-03)"
1898,03,24,,,,,-20.380,-43.420,  0.0,0, 3.0,4,"C","4",,"MG","Mariana","(O_Viçoso-O.Preto-MG_1898-03-27; 04-03)"
1899,05,,,,,,-18.600,-46.550,  0.0,0, 3.5,4,"C","5",,"MG","PATOS","(WILLIAMS 1922) 04.1899?"
1899,06,03,03,,,L,-19.710,-47.980,  0.0,0, 3.0,4,"C","4",,"MG","Uberaba","(Minas_Gerais-O.Preto 1899-06-06; Diario_Maranhao 1899-06-16)"
1899,12,,,,,,-13.030,-39.600,  0.0,0, 3.5,4,"C","5",,"BA","AMARGOSA",""
1901,04,04,13,,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO","varios eventos"
1901,04,05,05,,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO",""
1901,05,25,23,20,,L,-9.530,-36.060,  0.0,0, 3.2,4,"B","4-5",,"AL","Atalaia Viçosa","(O_Cachoeirano-ES 1901-02-28) dois eventos"
1901,05,26,02,15,,L,-9.530,-36.020,  0.0,20, 3.6,3,"C","5-6",3.800000,"AL","Atalaia Viçosa Maceió","(O_Cachoeirano-ES 1901-02-28) Rfelt=30-40km"
1901,06,01,23,,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO",""
1901,09,04,19,30,,L,-21.030,-44.750,  0.0,10, 3.7,3,"B","4",5.500000,"MG","Bom Sucesso","(J.Commercio 22-09-1901) outros dois à tarde"
1901,09,05,12,,,L,-21.030,-44.750,  0.0,10, 3.5,3,"C","4",3.000000,"MG","Bom Sucesso","(J.Commercio 22-09-1901)"
1903,02,10,,,,,-4.380,-38.970,  0.0,30, 3.9,3,"C",,5.500000,"CE","BATURITÉ",""
1903,02,12,,,,,-4.380,-38.970,  0.0,30, 3.9,3,"C",,5.500000,"CE","BATURITÉ",""
1903,02,14,,,,,-4.380,-38.970,  0.0,30, 4.1,3,"C","6",12.000000,"CE","BATURITÉ",""
1903,02,15,,,,,-4.380,-38.970,  0.0,30, 4.1,3,"C","6",12.000000,"CE","BATURITÉ","(O POVO-Fortaleza?...)"
1903,02,16,,,,,-4.380,-38.970,  0.0,30, 4.1,3,"C","6",12.000000,"CE","BATURITÉ",""
1903,02,25,22,05,,L,-21.030,-44.780,  0.0,0, 2.8,4,"C","3-4",,"MG","Bom Sucesso","(O_Pharol-JuizDeFora-MG 1903-02-27)"
1903,03,22,,,,,-21.030,-44.780,  0.0,0, 3.4,3,"C",,2.000000,"MG","Bom_Sucesso Amparo","(O_Pharol-JuizDeFora-MG 1903-04-01) à noite '8 leguas' Rfelt=25km?"
1903,03,29,10,30,,L,-21.030,-44.780,  0.0,0, 3.7,4,"C","5-6",,"MG","Bom_Sucesso S.A.Amparo","(O_Pharol-JuizDeFora-MG 1903-04-02; 04-04)"
1903,05,14,13,,,L,-4.100,-38.750,  0.0,0, 3.6,3,"C",,5.000000,"CE","Fortaleza Baturité","(A_Pacotilha-MA 1903-05-20) Rfelt=40km?"
1905,,,12,30,,L,-11.200,-42.300,  0.0,100, 4.7,3,"B","4",140.000000,"BA","XIQUE-XIQUE","Ano incerto (Branner 1912)"
1905,07,18,19,30,,L,-10.200,-40.400,  0.0,100, 4.8,3,"B","5",180.000000,"BA","S. DO BONFIM","ANO INCERTO; 1904 ?"
1906,10,24,22,58,,L,-19.200,-57.400,  0.0,100, 4.9,3,"B","4-5",190.000000,"MS","Corumbá","(O Pharol MT 1906-10-27; Silva et al.2020)"
1906,12,04,08,07,,L,-20.950,-43.810,  0.0,0, 3.2,4,"C","4-5",,"MG","Carandaí","(JCommercio-RJ 1906-ed0345; Gutemberg-AL 1907-01-24)"
1909,01,29,,,,,-28.500,-49.000,  0.0,100, 4.5,3,"C","4",70.000000,"SC","Tubarao","(Corr.Mun.-Caxias-RS-1909-02-25) (*)"
1909,12,23,19,,,L,-2.400,-44.420,  0.0,0, 3.0,4,"C","4",,"MA","Alcantara","(A_Pacotilha-MA 1909-12-24; J.Comercio-RJ 1910-01-12)"
1910,12,,,,,,-14.540,-49.960,  0.0,50, 3.0,4,"C","4",,"GO","Crixás","(O Planalto Sta-Luzia GO 1911-04-22; Silva et al.2020)"
1911,03,15,20,55,,L,-12.890,-38.690,  0.0,20, 3.0,5,"C",,0.400000,"BA","ITAPARICA","magnitude revisada estimada"
1911,03,22,15,,,L,-12.920,-38.670,  0.0,20, 4.0,5,"C","7",0.700000,"BA","ITAPARICA","AREA>700km2; Io duvidoso (J.Commercio-AM 1911-03-31)"
1911,03,30,11,10,,L,-22.000,-41.650,  0.0,40, 3.7,3,"C","4",6.000000,"RJ","Macaé","(Correio_da_Manhã-RJ 1911-03-31 e 04-01)"
1911,07,30,20,,,L,-18.350,-54.700,  0.0,50, 3.0,4,"C","4",,"MS","Coxim","(O Commercio MT 1911-08-01; Silva et al.2020)"
1911,08,26,21,15,,L,-3.100,-40.840,  0.0,0, 3.4,3,"C",,2.000000,"CE","Granja Parazinho","DOIS EVENTOS Rfelt=25km (Branner 1912)   ***"
1912,04,19,05,,,L,-13.200,-38.890,  0.0,0, 3.7,4,"C","5-6",,"BA","BR.JEQUIRICA","(Berrocal etal.1984; J.do_Commercio-AM 1912-05-03) Jiquiriça: -13.25 -39.58"
1915,02,02,,,,,-24.180,-46.790,  0.0,0, 3.2,4,"C","4-5",,"SP","ITANHAEM","(BSSA 2015 March) Sentido em São Paulo? (A_Noticia-BA 1915-02-04)"
1915,11,06,15,30,,L,-12.670,-38.630,  0.0,20, 4.0,3,"B","6",1.700000,"BA","I.DAS FONTES","AREA IV MM"
1917,05,05,04,50,,L,-21.600,-41.500,  0.0,50, 4.5,3,"B","5",70.000000,"RJ","CAMPOS",""
1917,11,07,20,25,,L,-12.480,-38.660,  0.0,10, 4.3,3,"B","6-7",28.000000,"BA","RIO FUNDO",""
1917,11,07,22,,,L,-12.450,-38.620,  0.0,0, 3.7,3,"C","4",2.300000,"BA","RIO FUNDO",""
1918,,,,,,,-23.530,-46.620,  0.0,0, 3.0,4,"C","4",,"SP","SAO PAULO",""
1918,01,12,08,,,L,-12.450,-38.620,  0.0,0, 3.7,4,"C","5-6",,"BA","RIO FUNDO","DOIS EVENTOS"
1919,03,12,08,45,,L,-16.000,-59.000,  0.0,50, 3.0,4,"C","4",,"MT","Porto Esperidião","(O Combate SP 1919-03-18; Silva et al.2020)"
1919,06,05,01,20,,L,-21.030,-44.750,  0.0,0, 3.2,4,"C","4-5",0.700000,"MG","Bom_Sucesso Ibituruna","Berrocal etal.(1984) outro eventos (A Noite-RJ 1919-06-11)"
1919,09,,,,,,-17.300,-46.850,  0.0,0, 2.8,4,"C","3-4",,"MG","PARACATU","(WILLIAMS 1922)"
1919,11,09,11,,,L,-12.750,-38.680,  0.0,20, 3.8,3,"C","4",3.700000,"BA","ACUPE",""
1919,11,10,,,,,-12.590,-38.620,  0.0,20, 3.6,3,"C","4",1.700000,"BA","SANTO AMARO",""
1919,11,13,,,,,-12.550,-38.700,  0.0,0, 3.5,4,"C","5",,"BA","SANTO AMARO","DOIS EVENTOS"
1919,11,16,06,55,,L,-12.670,-38.680,  0.0,20, 3.5,3,"C","5",1.200000,"BA","S.B.DASLAJES",""
1919,11,23,01,20,,L,-12.650,-38.620,  0.0,10, 4.2,3,"B","7",3.000000,"BA","M.RECONCAVO","AREA IV MM"
1919,11,24,02,50,,L,-3.870,-38.920,  0.0,50, 4.6,3,"B","5",80.000000,"CE","Maranguape","(Branner 1920; O_Combate-SP 1919-11-27)  ****"
1920,01,31,08,10,,L,-21.030,-44.750,  0.0,10, 4.0,3,"B","6",9.500000,"MG","BOM SUCESSO",""
1920,02,01,01,35,,L,-21.030,-44.750,  0.0,0, 3.2,4,"C","4-5",,"MG","BOM SUCESSO","VARIOS EVENTOS"
1920,02,09,13,20,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO",""
1920,02,16,22,30,,L,-4.350,-39.700,  0.0,0, 3.8,3,"C",,8.000000,"CE","Canindé Sta.Quitéria","(Branner 1920: carta Barão de Studart - Fortaleza; O_Combate-SP 1920-02-21)"
1920,03,11,19,15,,L,-21.030,-44.750,  0.0,0, 3.0,4,"C","4",,"MG","BOM SUCESSO",""
1922,01,27,03,50,40.00,L,-22.170,-47.040,  0.0,40, 5.1,3,"A","6",250.000000,"SP","Pinhal e S.J.Boa Vista","(Assumpcao et al.1979)"
1923,10,01,11,20,,L,-8.450,-36.700,  0.0,20, 4.1,3,"B","5",22.000000,"PE","Pesqueira","(O_Indio-Palmeira-AL 1923-10-14: Diario_de_Pernambuco) Aerólito Garanhuns ou Cimbres?"
1924,,,,,,,-8.280,-35.960,  0.0,0, 3.0,4,"C","4",,"PE","CARUARU",""
1927,,,00,,,L,-6.040,-38.460,  0.0,0, 3.0,4,"C","4",,"CE","PEREIRO",""
1928,04,14,21,59,,L,-4.560,-37.760,  0.0,0, 4.0,3,"C","6",10.000000,"CE","ARACATI","AREA APROXIMADA"
1928,06,07,21,30,,L,-5.420,-39.360,  0.0,0, 3.6,3,"C","3-4",2.000000,"CE","LACERDA",""
1929,11,10,01,04,00.00,,-27.500,-58.900,  0.0,30, 2.5,3,"C","3",,"AR","R.Parana Corrientes","(LPA;SJA/INPRES)"
1929,12,20,22,40,,L,-8.290,-35.970,  0.0,0, 3.0,4,"C",,,"PE","Caruaru","(O_Estado-Florianopolis-SC 1930-01-10) terceiro do ano"
1931,05,08,21,,,L,-18.510,-54.760,  0.0,50, 3.5,4,"C","5",,"MS","Coxim","(A_Noite-RJ 1931-05-11)    *** COORDS e HORA *****"
1931,05,23,03,,,L,-16.000,-44.300,  0.0,100, 4.9,3,"B","6",175.000000,"MG","S.Francisco","(Estado_de_Minas-BH 1931-05-26)"
1931,09,27,23,25,,L,-19.460,-44.240,  0.0,0, 3.5,4,"C","5",,"MG","Sete Lagoas","(O_Estado-SC 1931-10-01) 4a. vez em dois meses"
1935,01,02,01,12,18.00,,-29.600,-60.000,  0.0,30, 3.0,3,"C","4",,"AR","Vera; Santa Fé","(LPA;SJA/INPRES)"
1935,10,21,07,40,,L,-21.030,-44.750,  0.0,10, 3.7,3,"C","5-6",2.800000,"MG","BOM SUCESSO","OUTROS EVENTOS"
1936,02,12,13,20,,L,-21.030,-44.750,  0.0,0, 3.5,4,"C","5",,"MG","Bom Sucesso","(Lavoura_e_Comercio-Uberaba-MG 1936-02-13)"
1937,03,17,,,,,-4.070,-38.760,  0.0,100, 3.5,4,"C","5",,"CE","Cachoeira","(Diario_da_Manhã-ES 1937-03-23; O_Estado-SC 1937-04-12) coords incertas"
1938,03,01,03,30,,L,-22.550,-43.950,  0.0,20, 3.4,3,"B","4-5",1.900000,"RJ","Barra do Piraí","(A_Noite-RJ 1938-03-02 e 03)"
1939,04,13,19,,,L,-19.800,-44.710,  0.0,10, 3.3,3,"C",,1.200000,"MG","Pará-Minas Pitangui","(O_Triangulo-Araguary 1939-04-16; Rfelt=20km?)"
1939,06,28,11,32,22.00,,-29.000,-48.000,  0.0,90, 5.9,3,"A","6",1100.000000,"SC","TUBARAO","(ISC 5.6Ms; Quadros et al. 2019: 6.0mb)"
1941,04,11,09,05,,L,-16.100,-54.500,  0.0,70, 4.4,3,"B","5",51.000000,"MT","RONDONOPOLIS CUIABA","POXOREU"
1942,,,15,30,,L,-3.100,-40.840,  0.0,0, 3.0,4,"C","4",,"CE","GRANJA",""
1944,08,23,,,,,-14.500,-49.200,  0.0,50, 3.0,4,"C","4",,"MS","Damianópolis","outro em outubro? (Diário da Noite RJ 1944-08-23)"
1946,07,18,04,15,,L,-25.100,-47.700,  0.0,30, 4.6,3,"A","4-5",60.000000,"SP","CANANEIA","Area-IV= 25000 km2"
1946,10,07,17,25,,L,-1.440,-48.480,  0.0,0, 2.8,4,"C","3-4",,"PA","BELEM",""
1946,10,13,10,45,,,-21.700,-46.590,  0.0,0, 3.6,3,"B","4",5.000000,"MG","P.de_Caldas Caconde","(J.Noticias-SP-1946-10-15; 1946-11-29) Rfelt=40km?"
1947,02,01,01,,,L,-21.310,-46.710,  0.0,0, 3.0,4,"C","4",,"MG","Guaxupé","(Folha_do_Povo 1947-02-09) provavel madrugada de 01-Fev"
1947,03,04,,,,,-2.450,-44.400,  0.0,10, 3.0,4,"C","4",,"MA","Alcântara Itauna","(J.do_Brasil 1947-03-09; A_Noite-RJ 1947-07-28) dias 04 06 e 22-03-1947"
1947,12,15,19,05,,,-21.700,-57.900,  0.0,0, 3.5,4,"C","5",,"MS","Pto. MURTINHO","SENT. P.QUEBRACHO; JARDIM"
1948,01,21,16,47,40.00,,-30.500,-58.000,  0.0,30, 5.5,4,"B","6",,"AR","M.Caseros;Corrientes","(SJA/INPRES)"
1948,05,,,,,,-15.070,-49.970,  0.0,0, 3.0,4,"C","4",,"GO","EMBIARA","(UnB)"
1949,07,12,,,,,-8.150,-35.080,  0.0,0, 3.3,3,"C","4",1.200000,"PE","Jaboatão Moreno Vit.","(J.do_Brasil-RJ 1949-07-16; Diário_da_Noite-RJ 1949-07-18)"
1949,09,17,02,,,L,+3.830,-51.840,  0.0,100, 5.0,3,"C","5",450.000000,"AP","OIAPOQUE","(Berrocal etal.1984; A_Noite-RJ 1949-09-21) '2 horas'"
1950,02,27,08,58,,L,-21.600,-46.800,  0.0,30, 4.3,3,"C","5",25.000000,"SP","Caconde P.de_Caldas","(Corr.Paulistano 1950-02-28; J.de_Noticias 1950-0308) A_iv=7600km2"
1950,01,,,,,,-17.110,-43.810,  0.0,0, 3.0,4,"C","4",,"MG","Bocaiúva P.Albuquerque","(J.Noticias 1950-01-04 04-21; J.Noticias 1950-04-21)"
1950,04,07,12,,,L,-5.540,-35.820,  0.0,0, 3.0,4,"C","4",,"RN","JOAO CAMARA",""
1951,04,24,23,,,L,+3.830,-51.840,  0.0,0, 4.7,3,"C","4",150.000000,"AP","OIAPOQUE Macapá(?)","(Berrocal etal.1984; Correio_Paulistano 1951-04-29)"
1954,,,,,,,-9.930,-36.490,  0.0,0, 3.0,4,"C","4",,"AL","JUNQUEIRO","(Gazeta de Alagoas 1972-03-07) sem mais detalhes"
1955,01,31,05,03,07.00,,-12.520,-57.290,  0.0,30, 6.3,0,"I",,900.000000,"MT","SA. TOMBADOR","(epicenter ISC-GEM Mw 6.3+-0.2; Barros etal.2009)"
1955,03,01,01,46,17.00,,-19.880,-36.840,  0.0,30, 6.1,0,"A",,,"ES","Frente a VITORIA","(epicenter ISC-GEM; mb 6.1 Assumpção&Suárez 1988) Vitoria V MM"
1957,01,18,16,15,,L,-15.600,-56.100,  0.0,50, 3.0,4,"C","4",,"MT","Cuiabá","(Obs. Dom Bosco; O_Estado_de_Mato_Grosso 1957-01-20)"
1959,02,05,10,50,,L,-11.540,-57.410,  0.0,50, 3.5,4,"C","5",,"MT","Porto dos Gauchos","sentido 2 vezes (UnB; Conomali 1959-02-09)"
1959,05,25,20,08,,L,-21.260,-48.690,  0.0,0, 3.2,4,"C","4-5",,"SP","FERN.PRESTES","INDUZIDO (ANEXO 4 Berrocal etal.1984)"
1959,05,27,14,05,,L,-21.260,-48.690,  0.0,0, 3.2,4,"C","4-5",,"SP","FERN.PRESTES","INDUZIDO POÇO ARTESIANO?"
1959,05,29,03,55,,L,-21.260,-48.690,  0.0,0, 3.2,4,"C","4-5",,"SP","FERN.PRESTES","INDUZIDO POÇO ARTESIANO?"
1960,06,11,12,45,,L,-22.130,-45.100,  0.0,0, 3.5,3,"B","5",3.100000,"MG","São Lourenço","(Diario_Pernambuco 1960-06-14)"
1961,11,04,18,,,L,-16.380,-49.610,  0.0,5, 3.5,4,"C","5",,"GO","Inhumas","(Diário do Paraná PR 1961-11-10)"
1962,01,17,02,27,44.00,,-22.930,-43.230,  0.0,3, 3.2,3,"B","5",0.300000,"RJ","Rio de JANEIRO","reg. RDJ (Berrocal etal.1984)"
1963,08,27,,,,,-5.690,-36.240,  0.0,0, 3.7,4,"C","5-6",,"RN","LAJES",""
1963,08,29,23,,,L,-18.170,-56.780,  5.0,30, 4.6,0,"B",,140.000000,"MS","Corumbá","(LPB; Silva et al.2020; Correio do Estado MS 1963-09-03)"
1963,10,02,15,40,,L,-5.690,-36.240,  0.0,0, 3.9,4,"C","6",,"RN","LAJES","(Diario_de_Natal 1963-10-03) sem info de outros locais"
1963,12,14,00,05,40.60,,-2.360,-61.020, 45.0,30, 5.1,0,"C",,,"AM","MANAUS","(ISC-GEM; Assumpcao & Suarez 1988)"
1964,01,19,,,,,-8.280,-35.960,  0.0,0, 3.5,4,"C","5",,"PE","CARUARU","TRES EVENTOS;10-12 HORAS?"
1964,02,13,11,21,46.00,,-18.170,-56.780,  5.0,30, 5.4,0,"I",,175.000000,"MS","NW DE MS","(ISC; Correio do Estado MS 1964-02-14; Silva etal.202)"
1964,03,21,,,,,-20.510,-45.590,  0.0,0, 3.0,4,"C","4",,"MG","PONTEVILA","DOIS EVENTOS"
1964,06,16,,,,,-8.280,-35.960,  0.0,0, 3.5,4,"C","5",,"PE","CARUARU","VARIOS EVENTOS"
1964,06,19,03,56,17.10,,+2.600,-59.560,  0.0,50, 4.3,0,"I",,,"RR","RR/GUIANA","(ISC-Rebuild)"
1965,06,26,05,55,12.80,,-9.100,-72.950,  0.0,50, 4.5,0,"I",,,"AC","W ACRE","(ISC-Rebuild)"
1965,08,12,,,,,-19.940,-44.720,  0.0,20, 3.3,3,"C",,0.500000,"MG","IGARATINGA","DIA INCERTO"
1965,08,15,19,36,54.20,,+2.660,-60.160,  0.0,30, 4.8,0,"I",,,"RR","SE RR Guyana","sem pP (ISC-GEM)"
1966,11,15,05,,,L,-20.800,-46.000,  0.0,0, 3.2,4,"C","4-5",,"MG","REG. FURNAS","VARIOS;INDUZ.P.RESERVAT.?"
1967,01,21,15,59,48.00,L,-8.200,-35.980,  0.0,10, 3.8,1,"B","5",7.000000,"PE","CARUARU","(UFRN)"
1967,03,22,21,12,15.00,L,-23.300,-45.000,  0.0,20, 4.1,0,"A","6-7",30.000000,"SP","CUNHA","registrado em AREQUIPA"
1967,08,05,06,56,10.00,L,-22.850,-43.120,  0.0,10, 3.6,1,"B","5-6",2.700000,"RJ","SAO GONCALO","(Berrocal etal.1984; UnB)"
1967,08,09,07,14,08.00,,-8.450,-73.830, 42.0,30, 5.1,0,"I",,,"AC","PERU-BRASIL","(ISC; Assumpção 1992)"
1968,01,13,01,55,51.00,,-6.090,-38.440,  0.0,10, 3.9,2,"C","6",25.000000,"CE","PEREIRO","(UFRN)"
1968,01,13,01,58,,,-6.040,-38.460,  0.0,0, 2.8,4,"C","3-4",,"CE","PEREIRO",""
1968,01,18,10,40,,,-6.090,-38.440,  0.0,0, 3.5,4,"C","5",,"RN","SALAO","DIA INCERTO"
1968,02,04,,,,,-6.110,-38.440,  0.0,0, 3.2,4,"C","4-5",,"RN","JUNCO",""
1968,02,15,13,20,48.00,,-6.090,-38.440,  0.0,10, 4.1,2,"B","6",11.000000,"CE","PEREIRO","(UFRN) 11:20 H.L.-Verão"
1968,02,23,14,23,02.00,,-6.090,-38.440,  0.0,5, 4.6,2,"A","7",84.000000,"CE","PEREIRO","(UFRN;IAG;ISC) 12:23 H.L.-Verão"
1968,02,23,14,37,01.00,,-6.090,-38.440,  0.0,10, 3.0,1,"C",,,"CE","PEREIRO","(UFRN) EPICENTRO INFERIDO"
1968,02,23,15,21,16.00,,-6.090,-38.440,  0.0,10, 3.0,1,"C",,,"CE","PEREIRO","(UFRN) EPICENTRO INFERIDO"
1968,02,23,15,33,03.00,,-6.090,-38.440,  0.0,10, 3.8,2,"C",,,"CE","PEREIRO","(UFRN) EPICENTRO INFERIDO"
